TIMEID,EMPID,PROJECTID,START_TIME,STOP_TIME,NOTES,MANUAL_ENTRY,TOTAL_MINUTES
1,E001,P001,2025-04-19 20:58:08,2025-04-19 21:58:08,Worked on initial setup,1,60
2,E001,P001,2025-04-20 09:30:00,2025-04-20 11:00:00,Entered start/stop manually,1,90
3,TEST01,P001,2025-04-21 10:00:00,2025-04-21 11:30:00,Manual entry for testing,1,90
4,E001,P002,2025-04-22 13:00:00,2025-04-22 14:00:00,Casey: project planning,1,60
5,TEST01,P002,2025-04-22 15:00:00,2025-04-22 16:00:00,Tess: wireframing,1,60
6,E0009,P003,2025-04-23 09:00:00,2025-04-23 10:30:00,Liesl: team check-ins and documentation,1,90
7,E004,P003,2025-04-23 11:00:00,2025-04-23 12:00:00,Erika: stakeholder meeting,1,60
8,E0009,P001,2025-04-24 04:52:06,2025-04-24 05:52:06,Liesl: debugging session,1,60
9,TEST01,P001,2025-04-24 03:52:06,2025-04-24 04:52:06,Tess: finished documentation,1,60
10,E003,P001,2025-04-23 09:00:00,2025-04-23 10:30:00,Yesac: planning meeting,1,90
11,E003,P002,2025-04-24 13:00:00,2025-04-24 14:15:00,Yesac: reviewed reports,1,75
12,E011,P001,2025-04-24 09:00:00,2025-04-24 10:00:00,Nina: daily task,1,60
13,E012,P002,2025-04-24 10:00:00,2025-04-24 11:00:00,Tom: daily task,1,60
14,E013,P003,2025-04-24 11:00:00,2025-04-24 12:00:00,Sara: daily task,1,60
15,E014,P004,2025-04-24 12:00:00,2025-04-24 13:00:00,Alex: daily task,1,60
16,E015,P001,2025-04-24 13:00:00,2025-04-24 14:00:00,Jamie: daily task,1,60
17,E016,P002,2025-04-24 14:00:00,2025-04-24 15:00:00,Taylor: daily task,1,60
18,E9001,P10001,2024-04-05 09:50:00,2024-04-05 11:59:00,Integer ac,0,129
19,E9003,P10003,2024-12-09 16:47:00,2024-12-09 18:01:00,Vestibulum,1,74
20,E9005,P10005,2024-04-14 04:01:00,2024-04-14 05:17:00,Suspendisse,1,76
21,E9006,P10006,2025-01-08 20:09:00,2025-01-08 21:05:00,Mauris enim,0,56
22,E9005,P10005,2025-03-11 09:51:00,2025-03-11 11:03:00,Sed sagittis,1,72
23,E9006,P10006,2025-01-24 03:11:00,2025-01-24 04:21:00,Cras non tortor,0,70
24,E9006,P10006,2024-05-29 07:58:00,2024-05-29 09:56:00,Donec diam,1,118
25,E9006,P10006,2025-01-16 14:46:00,2025-01-16 15:41:00,Phasellus in,0,55
26,E9007,P10007,2024-06-23 21:55:00,2024-06-23 22:51:00,Duis bibendum,0,56
27,E9007,P10009,2024-03-10 19:27:00,2024-03-10 20:39:00,Sed sagittis,1,72
28,E9007,P10009,2024-06-22 06:15:00,2024-06-22 09:11:00,In sagittis,1,176
29,E9011,P10010,2025-01-23 01:01:00,2025-01-23 02:03:00,Duis aliquam,1,62
30,E9011,P10011,2025-02-13 04:19:00,2025-02-13 05:57:00,In congue,1,98
31,E9012,P10012,2024-06-15 19:12:00,2024-06-15 20:44:00,Maecenas ut,0,92
32,E9014,P10014,2025-04-05 09:30:00,2025-04-06 11:09:00,Pellentesque,1,1539
33,E9015,P10015,2024-08-07 08:32:00,2024-08-07 19:50:00,Nulla ute,1,678
34,E9016,P10016,2025-02-04 08:28:00,2025-02-04 10:34:00,Praesent id,0,126
35,E9017,P10017,2025-03-31 13:09:00,2025-03-31 14:09:00,Quisque posuere,1,60
36,E9018,P10018,2025-02-05 02:50:00,2025-02-05 05:12:00,Vestibulum,0,142
37,E9019,P10020,2024-10-09 13:38:00,2024-10-09 15:09:00,Fusce posuere,1,91
38,E9021,P10021,2024-03-26 03:58:00,2024-03-26 06:12:00,In quis justo,1,134
39,E9024,P10024,2024-10-30 11:00:00,2024-10-30 11:45:00,Maecenas ut,0,45
40,E9025,P10025,2025-04-07 03:24:00,2025-04-07 05:22:00,Donec diam,0,118
